,Model A,Model B,Step,Score
120,vit_base_patch16_224.mae,vit_large_patch16_224.mae,5,0.4482400119304657
121,vit_base_patch16_224.mae,vit_huge_patch14_224.mae,5,0.43911999464035034
122,vit_base_patch16_224.mae,vit_base_patch16_clip_224.laion2b,5,0.31327998638153076
123,vit_base_patch16_224.mae,vit_large_patch14_clip_224.laion2b,5,0.30616000294685364
124,vit_base_patch16_224.mae,vit_huge_patch14_clip_224.laion2b,5,0.31632000207901
125,vit_base_patch16_224.mae,vit_base_patch16_clip_224.laion2b_ft_in12k,5,0.3192000091075897
126,vit_base_patch16_224.mae,vit_large_patch14_clip_224.laion2b_ft_in12k,5,0.311599999666214
127,vit_base_patch16_224.mae,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.29927998781204224
128,vit_large_patch16_224.mae,vit_huge_patch14_224.mae,5,0.7437599897384644
129,vit_large_patch16_224.mae,vit_base_patch16_clip_224.laion2b,5,0.4428800046443939
130,vit_large_patch16_224.mae,vit_large_patch14_clip_224.laion2b,5,0.4264799952507019
131,vit_large_patch16_224.mae,vit_huge_patch14_clip_224.laion2b,5,0.4412800073623657
132,vit_large_patch16_224.mae,vit_base_patch16_clip_224.laion2b_ft_in12k,5,0.43799999356269836
133,vit_large_patch16_224.mae,vit_large_patch14_clip_224.laion2b_ft_in12k,5,0.414639949798584
134,vit_large_patch16_224.mae,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.40776002407073975
135,vit_huge_patch14_224.mae,vit_base_patch16_clip_224.laion2b,5,0.42128002643585205
136,vit_huge_patch14_224.mae,vit_large_patch14_clip_224.laion2b,5,0.4028800427913666
137,vit_huge_patch14_224.mae,vit_huge_patch14_clip_224.laion2b,5,0.4275200068950653
138,vit_huge_patch14_224.mae,vit_base_patch16_clip_224.laion2b_ft_in12k,5,0.42023998498916626
139,vit_huge_patch14_224.mae,vit_large_patch14_clip_224.laion2b_ft_in12k,5,0.4043999910354614
140,vit_huge_patch14_224.mae,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.3959999978542328
141,vit_base_patch16_clip_224.laion2b,vit_large_patch14_clip_224.laion2b,5,0.6928799152374268
142,vit_base_patch16_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b,5,0.6782400012016296
143,vit_base_patch16_clip_224.laion2b,vit_base_patch16_clip_224.laion2b_ft_in12k,5,0.5927200317382812
144,vit_base_patch16_clip_224.laion2b,vit_large_patch14_clip_224.laion2b_ft_in12k,5,0.5762400031089783
145,vit_base_patch16_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.5682399868965149
146,vit_large_patch14_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b,5,0.6821600198745728
